run_id,config_id,gfm_deployment,event_type,dP_mw,P_dg_pre,P_head_mw,soc,mu_I_ana,mu_I_emt,mu_P_ana,f_nadir_ana,f_nadir_emt,rocof_ana,rocof_emt,v_min_emt,i_peak_pu,eps_f,eps_V,secure_flag,wallclock_s,solver,dt,platform,ok,beyond_platform,insecure_because,f_nadir_andes,f_ss_andes,df_ss_andes,df_ss_ana,rocof_andes_window,rocof_andes_device,v_min_andes,v_max_andes,mu_I_andes,mu_I_andes_unit,mu_I_cont_andes,mu_I_cont_andes_unit,mu_P_andes,mu_P_andes_unit,n_units_saturated,dP_delivered_mw,p_gfm_pre_mw,settled,t_reached_s,pflow_converged,tds_converged,mu_P_ana_headroom_only,no_equilibrium,dP_critical_ana_mw,error
dpmax_G0_001,G0,6gfm,gen_loss,0.05,0.0,3.414,,0.07564643315606087,,0.1640159045725646,,,,,,0.6451897214377064,,,True,12.673,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.9655331104897,59.965614286696024,-0.03438571330397622,-0.03438474234366404,0.06780911289357744,0.0024063281422243314,0.995967739915143,0.9998451025282299,0.3225948607188532,G4,0.5376581011980887,G4,0.15762308109595483,G6,0,0.05000140820447174,0.5601180096239539,True,7.999999999999988,True,True,0.014645577035735208,False,3.414,
dpmax_G0_002,G0,6gfm,gen_loss,3.0,0.0,3.414,,0.4137630662020906,,0.897117296222664,,,,,,4.473065963199984,,,False,55.179,andes-2.0.0-trapezoid,0.002,andes,True,True,f_nadir 55.9998 < 59.5; rocof 8.0312 > 2.0; v_min 0.6530 < 0.88; mu_I(ImaxF) 2.2365 > 1.0 (G6),55.99981596193714,57.937166433692,-2.062833566308001,-2.0630845406198417,8.031198812589354,0.2798176270961655,0.6529563557107223,1.0563989363761628,2.236532981599992,G6,3.72755496933332,G6,6.700988869984671,G6,0,2.999575595972269,-2.3894664806853267,True,7.999999999999988,True,True,0.8787346221441125,False,3.414,
dpmax_G0_003,G0,6gfm,gen_loss,1.525,0.0,3.414,,0.2447047496790757,,0.5305666003976143,,,,,,1.4831373935604022,,,False,15.362,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 58.9448 < 59.5; rocof 2.0271 > 2.0,58.94477141635476,58.95129822560117,-1.048701774398829,-1.0487346414817529,2.0270518505654036,0.07343930159338655,0.894005741727795,0.9998363416039897,0.7415686967802011,G6,1.235947827967002,G6,0.46084020290663635,G6,0,1.5249521224230729,-0.9147796606184725,True,7.999999999999988,True,True,0.4466900995899238,False,3.414,
dpmax_G0_004,G0,6gfm,gen_loss,0.7875,0.0,3.414,,0.1601755914175683,,0.3472912524850894,,,,,,1.0690297592909133,,,False,14.179,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 59.4567 < 59.5,59.456719453137005,59.458441826108576,-0.5415581738914241,-0.5415596919127086,1.0603345803370132,0.03791758170395163,0.9448736391475105,0.9998314739730861,0.5345148796454566,G6,0.8908581327424276,G6,0.27133433902539966,G6,0,0.7874976848025914,-0.1773571885544177,True,7.999999999999988,True,True,0.2306678383128295,False,3.414,
dpmax_G0_005,G0,6gfm,gen_loss,0.41875,0.0,3.414,,0.11791101228681458,,0.25565357852882703,,,,,,0.8583718340247559,,,True,12.508,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.71126847960709,59.71202419639618,-0.28797580360382113,-0.28797221712818627,0.5652058399616628,0.020157928913605922,0.9703956325111978,0.9998382916240783,0.42918591701237796,G6,0.7153098616872966,G6,0.2079156563055883,G6,0,0.41875516792541445,0.19137381888940605,True,7.999999999999988,True,True,0.12265670767428237,False,3.414,
dpmax_G0_006,G0,6gfm,gen_loss,0.603125,0.0,3.414,,0.13904330185219144,,0.30147241550695825,,,,,,0.9641437063299089,,,True,13.743,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.58404756069463,59.58523207037159,-0.414767929628411,-0.4147659545204474,0.8137599531211719,0.029037032553205888,0.9576338605048719,0.9998348836418887,0.48207185316495443,G6,0.8034530886082575,G6,0.2376796461247238,G6,0,0.6031277951422312,0.007006667385148228,True,7.999999999999988,True,True,0.17666227299355597,False,3.414,
dpmax_G0_007,G0,6gfm,gen_loss,0.6953125,0.0,3.414,,0.14960944663487988,,0.3243818339960239,,,,,,1.0167093173413537,,,True,13.898,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.520400171889975,59.52183672167253,-0.47816327832747163,-0.47816282321657794,0.9355021752343686,0.03347718271489461,0.9512554924905647,0.9998331790183081,0.5083546586706769,G6,0.8472577644511281,G6,0.2539747858848919,G6,0,0.6953130692252714,-0.0851756725305122,True,7.999999999999988,True,True,0.20366505565319273,False,3.414,
dpmax_G0_008,G0,6gfm,gen_loss,0.74140625,0.0,3.414,,0.15489251902622408,,0.3358365432405567,,,,,,1.0429034286428667,,,False,14.101,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 59.4886 < 59.5,59.48856432656482,59.49013921475679,-0.5098607852432124,-0.5098612575646432,0.9991250511569367,0.035697286687968385,0.9480651874081211,0.9998323265484013,0.5214517143214333,G6,0.8690861905357222,G6,0.26249595121827207,G6,0,0.7414054629231313,-0.13126653356451928,True,7.999999999999988,True,True,0.21716644698301113,False,3.414,
dpmax_G0_009,G0,6gfm,gen_loss,0.718359375,0.0,3.414,,0.152250982830552,,0.33010918861829025,,,,,,1.0298116108266746,,,True,14.047,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.50448333721262,59.50598795378847,-0.4940120462115303,-0.4940120403906106,0.9679698839007455,0.03458726118456652,0.9496614365213373,0.9998327527965292,0.5149058054133373,G6,0.8581763423555622,G6,0.25820660603942797,G6,0,0.7183592869924471,-0.10822112874907831,True,7.999999999999988,True,True,0.21041575131810195,False,3.414,
dpmax_G0_010,G0,6gfm,gen_loss,0.7298828125000001,0.0,3.414,,0.15357175092838804,,0.3329728659294235,,,,,,1.0363610971962058,,,False,14.087,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 59.4965 < 59.5,59.496524110139795,59.49806358045888,-0.5019364195411171,-0.5019366489776269,0.9835477805303126,0.0351422342846141,0.9488621279220049,0.9998325396757588,0.5181805485981029,G6,0.8636342476635049,G6,0.26033840619147897,G6,0,0.7298823804733967,-0.11974383761811275,True,7.999999999999988,True,True,0.21379109915055658,False,3.414,
dpmax_G0_011,G0,6gfm,gen_loss,0.6400000000000001,0.0,3.414,,0.14326975976526682,,0.31063618290258455,,,,,,0.9851980503020543,,,True,13.636,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.558592342241866,59.55987387965553,-0.4401261203444733,-0.4401247019988997,0.8635470515712396,0.030813053680718135,0.955082109378252,0.9998342018430537,0.49259902515102716,G6,0.8209983752517119,G6,0.24407913714685434,G6,0,0.6400019790528612,-0.02986636747885679,True,7.999999999999988,True,True,0.1874633860574107,False,3.414,
dpmax_G0_012,G0,6gfm,gen_loss,1.2300000000000002,0.0,3.414,,0.2108930863744728,,0.45725646123260444,,,,,,1.316080276321836,,,False,14.432,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 59.1503 < 59.5,59.150304763832516,59.154152827044534,-0.845847172955466,-0.8458646616541353,1.6431448513840188,0.05923259160763337,0.9143163321650384,0.9998232838872049,0.658040138160918,G6,1.09673356360153,G6,0.37201614709774883,G6,0,1.2299744672783564,-0.6198169980553436,True,7.999999999999988,True,True,0.3602811950790862,False,3.414,
dpmax_G0_013,G0,6gfm,gen_loss,1.8200000000000003,0.0,3.414,,0.27851641298367874,,0.6038767395626243,,,,,,1.6771743560606558,,,False,31.093,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 58.7355 < 59.5; rocof 2.4551 > 2.0; v_min 0.8737 < 0.88,58.735529121611265,58.74848819657313,-1.2515118034268724,-1.251604621309371,2.455060384931578,0.08763814352275866,0.8737191908482149,1.0177063159564643,0.8385871780303279,G6,1.3976452967172133,G6,0.8422477990060286,G1,0,1.81986264320457,-1.2097338890883491,True,7.999999999999988,True,True,0.5330990041007617,False,3.414,
dpmax_G0_014,G0,6gfm,gen_loss,2.41,0.0,3.414,,0.34613973959288463,,0.7504970178926441,,,,,,4.459170829934122,,,False,61.06,andes-2.0.0-trapezoid,0.002,andes,True,True,tds stopped at t=4.600s; f_nadir 56.4438 < 59.5; rocof 7.0271 > 2.0; v_min 0.6625 < 0.88; mu_I(ImaxF) 2.2296 > 1.0 (G6),56.443783919768244,57.93876522515609,-2.0612347748439106,-1.6573445809646066,7.027050854597046,0.24427139315019206,0.662508043767935,1.1129788513703194,2.229585414967061,G6,3.715975691611768,G6,4.908134031542212,G6,0,2.4106061981834697,-1.7996170477057833,False,4.6,True,False,0.705916813122437,False,3.414,
